url,category
https://www.iso.org/obp/ui/#iso:std:iso:9001:ed-5:v1:en,PDF
https://www.twitch.tv/ninja,Channel
https://www.spotify.com/download/,App
https://www.rottentomatoes.com/m/inception,Movie
https://www.w3.org/TR/PNG-Structure.pdf,PDF
https://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=E,PDF
https://www.microsoft.com/en-us/p/zoom/9njr5r1hbjb3,App
https://www.apple.com/ios/app-store/,App
https://www.youtube.com/user/AsapSCIENCE,Channel
https://www.metacritic.com/movie/parasite,Movie
https://www.sciencedirect.com/science/article/pii/S0005789401911162,Academic
https://www.fandango.com/the-matrix-20th-anniversary-218991/movie-overview,Movie
https://www.adobe.com/products/photoshop.html,App
https://www.ustream.tv/channel/nasa-media-channel,Channel
https://www.boxofficemojo.com/title/tt2488496/,Movie
https://play.google.com/store/apps/details?id=com.whatsapp,App
https://vimeo.com/channels/staffpicks,Channel
https://www.imdb.com/title/tt0109830/,Movie
https://twitter.com/elonmusk,Profile
https://arxiv.org/pdf/1609.08144.pdf,PDF
